Questions,Responses,Question number,Transcripts
"how do you think this project, when do you think that they use the rdb procedure or they first come to ministry and they haven't checked with rdb? what happens here for the ahdp?","rbc, moh in planning, i think they were involved. rbc the director of lab, chai we were planning with the former country director and she accepted as well i think others, i don't know their levels of involvement, bmc, boofmar, lancet. and, but the crucial are rbc and us and also chai.",15,rwa_int_pe_2021_11_30
"what options were, or are still being considered when designing the model, this ahdp model?","incentives, monetary are not good. to make a friendly climate maybe is it a workshop? maybe people can understand have a time not bound with because i can, before the meetings were even the online and virtual you don't know the level of involvement at virtual meeting. true. are they focused? do they read are they prepared? did they know the content? so are they able to ask some questions? so those are kind of, if i try to be neutral and to put on another side. what can i do in future",16,rwa_int_pe_2021_11_30
"so just quickly do you think for the co-management, we need different modalities, different design for example, contracting options will be, or regulatory consideration would be different.","i don't know. i don't think there is no one only the hesitance, because, you can think of, you can shake when you have some the administrative ministerial level, our aim is something can improve.some people,are not appreciatingthe services of laboratory if to we go to the appreciation level of rdb they are among services are not appreciated ambulance too, the services of laboratory drugs, accessibility. we know that level. and, and if we did that change last year with rms i mean ppd again, reform will be needed a different way to addressthe access to the test and laboratory. so maybe hospitals, are getting revenue i cannot lie i was the hospital manager. and you can buy at cost of x and you get five x five times and four times. for example, if i tell you, for example, for a hepatitis test, they have more, more profits, pregnancy test, they have profit more profits. may be, but this is my guess.",17,rwa_int_pe_2021_11_30
how do you think how appropriate is the design of ahdp ppp to the local context? ,maybe they can be hesitant yeah. because they get something from it.,18,rwa_int_pe_2021_11_30
"so how would you recommend a process to have a very deep buying for key stakeholders? for example, what would you recommend to international funders? here? we are looking at someone like bmg, some station, like bmg for your investment bank.",i'm not aware of that.,19,rwa_int_pe_2021_11_30
"you know, you just say piloting is one of them. what else do you think need to be considered? if we have another opportunity to do the ppp with lab services?","yeah. maybe at level of the ministers and all, but we were approached by chai try to explain the project. but we don't know about that. ",20,rwa_int_pe_2021_11_30
"and you think that this was not well done, considering that, you know, understanding the old stakeholders mapping and understanding who bringing the table how do you see that should be done?","the private partners it's their spirit they want to do their things on their own maybe they see that our public sector is very risky, very difficult to take some investment. the payment process from rssb can take an average of 90 days right now. before it was 180 can i now wait for those days to be reimbursed. so, it could be those scenarios and those questions we may see, and they, of course, every time say, how can we get capital to inject in those ppp? and do we have some special treatment, like loan with reduced interest, do you have, the guarantee?",21,rwa_int_pe_2021_11_30
"how would an ideal ppp design, accommodate the needs of priority population? what is the best ppp in this one?","yeah they have. you look at, maybe there are some people investing in big hospital are bringing many equipment, they have equipment, and someone can buy a city scan themselves. so they, they have heavy investment so it is very easy to be open. and they also we because of the friendly environment and the business model of the country we are seeing many foreign investors cannot even right to the rwandan investors. i think it comes something that can be even attract foreigners to invest in.",22,rwa_int_pe_2021_11_30
how would the ppp design address key considerations to improve access of laboratory diagnostics? ,"we only have lancet as someone who is specialize in laboratory, others are opening up the clinic, but also adopt the laboratory. and bmc also had that unique laboratory model, but added some clinical services there maybe laboratory can be interested as some something that is private model.",23,rwa_int_pe_2021_11_30
what factors do you think changed the discussion around the ppp? and how do you think separate question covid would or affect the decision on the ppp?,"grants are not sustainable.loans from bank is alwaysthe only guarantee, but the only fear is the interest rate, which is very high so i suggest maybe if it is a loan from bankbut with law interest it can attract private investors.",24,rwa_int_pe_2021_11_30
"i was just going to ask for example, if ahdp is providing technical support and facilitating financing for these people, how would the availability of this support affect the ppp design? ","it's very difficult and kind of ppp if the government has the infrastructure, the buildingsthe equipment, and the much demands from other future investment from the government, building other hospitals,scale up the already services to l specialtyit can be done, but with many priorities we have, and other prioritiesput on hold , if you have someone who can sustain the lab it can be very good for us and look at the other areas to invest.",25,rwa_int_pe_2021_11_30
do you think that there's a way that you can do ppp without looking at the financial instruments or ppp must have financial instrument?,"my question is,did i contribute a lot, because beforei wanted to tell tunga that i will not contribute because i don't have enough information. i skipped some meetings cause of different reasons.",26,rwa_int_pe_2021_11_30
how would you recommend ahdp technical support being used to address any of the gaps that you said weaknesses in capacity among his stakeholders?,"my role in the ppp process, started i think one year ago during the covid pandemic, i think in 2020 may_ june when chai came to see the minister and then minister called me and the team we went there to the meeting and then the country director of chai introduced this platform or the process to the minister, so the minister tasked us to work on it. so what we did, it was, first of all we established the steering committee. with clear term of reference with all stakeholders which i will share with you. okay. we developed it together with chai but also colleague from rbc lab division so from there have been already some work ongoing by that time, there was issue of completing the data collection which we did. we supported them to give them the introduction letter. we give them those data through hmis opening data we have, there was a formal appointment by the minister to the steering committee and after the appointment, the initial meeting workshop of five days and ps was the chair of the senate committee. it was appointed chair of committee. so there have been the first workshop and our team was there. we worked with them there were different people from hospital, private sector, rdb, university of rwanda of course with enabel, usaid but those are partners. it was quite a very good team. composed of all stakeholders. ",27,rwa_int_pe_2021_11_30
"how supportive is the existing policy legal or regulatory framework to ppps that we have? do you have a lot of resistance in the policy makers, or do we have different ways of overcoming those resistance? how flexible is the ppp to changes in the government priorities?","i think it was around 20, i'll give you the composition, but also i, can share with you the reports that they did, the workshop were in musanze. i think that was july they had a workshop and they discussed a lot that time, there was the brief that i get for the team, thosekind of confusion, people, some people say that you know, you are going to bring one private sectorto have a monopoly.it will not be possible how this is complementally to, what abbott and roche they're doing. i see, which was quite different because i think there was a kind of we had to explain, to make people understand why this, i mean, the contribution of this initiative the ongoing initiative, this initiative came not only not to remove other initiatives but it was quite of somehow see how we can get more, can be more efficient the way we manage our lab we liked the idea, that's why we even continued to push it. and at that time there was a big feasibility study that was shared. i mean, after that, there was input from the steering committee, there was initial reports, and then the steering committee discussion, they approved the document, the document was shared in august. ",28,rwa_int_pe_2021_11_30
"and you talked about the abbott examples and you also talk about your experience as a, as a district hospital manager. so how were you involved in the past experience in the ppp? or even here as a in charge of quality head of department?","at that time, like june when started lab leadership was involved the current one and the previous. i remember even when we had the meeting preparing the steering committee workshop, the former leader of lab is the one who proposed to have sample transportation, which i liked sincerely speaking, personally liked that idea and proposed that let start with sample transportation. that's why we have problems rather than going for full management or ppps hospital. and we took that idea, even the committee that was discussed, even though the workshop it was quite of because it was a mixture of people some of them were what's the first time to be introduced to a, that's why they bring all those, you know, monopoly versus their discussion shifts you know, it's not good to have one person to manage your lab. ",29,rwa_int_pe_2021_11_30
"and how trusting collaborative was the relationship, or is the relationship between the public and private sector in this one?","yes. immediately. technically we communicate not officially to chai. and i think also other meeting between the leadership of chai here with the country director of chai, she had introduction, this was a visit to minister after being appointed. i was there in the meeting and minister told them that the process has been put on hold for one year probably end of next year.",30,rwa_int_pe_2021_11_30
what has been any historic investment and interest from government in laboratory diagnostics?or do you think it's align with the government priorities?,"yeah. there are two things. they mentioned two things they mentioned the dno but also they mentioned another thing. they say that they're going to strengthen the regional labs, you see the blood ncbt the regional office they're going to strengthen those regional and maybe some need to be renovated, but put some lab tests mean working with the nearby hospital. there is no machine in the hospital to put in those ncbt office.",31,rwa_int_pe_2021_11_30
"do you think there will befor example, as you submitted the document to rdb, do you think you need to improve or work onhow the health work related to those diagnostic systemwould be able to actually accommodate all the new improvement? ","because we don't have where to deploy them. i see. it's not because there is no demand, but this because of lack of infrastructure, but also bottlenecks in term of service delivery. so one way of even now we have all the hospital has declined. we don't have backend positions. we donâ€™t know how we had to put them. are we going to put them say, go and be freelancer and look for yourself. you know, yet you have contract we feel frustrated somehow. that's it's a poor planning for our side. ",32,rwa_int_pe_2021_11_30
"so, this is the list of people that would like to, we are actually planning to interview do you think we miss any, we would like to see any important stakeholder in that show card","yeah, my personal view. not the minister so i'll be frank with you i don't think what will do in this in one year will make a difference to change this option of having the ppp for lab. i mean, for sample transportation, why it's because we know what we are doing and how we do things. so number one it's i think we need we should sit together and see, i mean, we probably that one year that we had agreed on, i mean, that has been decided if we could have a time to discuss what are the advantages and disadvantages cause i'm seeing it, that not helping so much, the people even though so but i understand because most of the time government fear to engage to the private.",33,rwa_int_pe_2021_11_30
"thank you so much for those, do you think there will be an incentive to participate in the ppp you know, the ones that you suggest","i think we need to do a lot of advocacy to bring more leadership, european investment bank, you see european investment bank. they have already give us money for the lab with the ministry finance the loan has been signed. so if they found that rwanda is more engaging in more projects. i think they will also continue to invest and they're going to support us that's one of the things i leave it to leadership. the district hospital is a first contact of the patient if they found that they have proper sample transportation, the lab would be busy. so the big lab is going to be there. with a well and effective sample transportation and this really a good time to do it. we will keep on advocating to see if this can work, but also i'm seeing a lot of opportunity if the banks can offer loans to the low interest rate too.",34,rwa_int_pe_2021_11_30
that's correct. thank you so much doctor whose interests are hurt or helped by laboratory diagnostic happening in public versus the private sector,"moh, mof, private sector like cdc, enabel, usaid those were working for supporting project engagement and chai also was involved.",35,rwa_int_pe_2021_11_30
"yeah. so, so probably at the level of the, especially at the health facility,","no they didnâ€™t involve, psf involved as private partners they gave us someone. ",36,rwa_int_pe_2021_11_30
"okay. i see. and, and that's where, or you think that there may be potential threatened to ppp or contracting arrangement because that's where the hospital gets.some support. ","laughingi will align this with the leadership you don't have champions leadership champions. so leadership is minister of health first. they was one pushing it, even though they put it on hold, but it's the ministry of health. yeah. the ministry i see. but on, i think on personal note at that time it was not perceived, it pushed by chai. yeah. but when the conversation, i mean, that was the beginning, but when the evolving, it was very clear we found that there was kind of the government want to do it you remember the discussion we had yeah.",37,rwa_int_pe_2021_11_30
"the fear, again, for me the ignorance is very difficult. and maybe you can have fear because you doesn't understand the project and you don't want to take risk. and sometimes in any projects it's boundary the risks. yeah. and some people fearing to take risk, due to a lot of fear. ","no i won't say that, there is oppose instead i think it's a progressive understanding so it's people were not in the same level of understanding the project, maybe what we want to do. what are the benefits, but also looking ahead and see what are we losing? what are we gaining?",38,rwa_int_pe_2021_11_30
"thank you so much. and we are almost there. so do, do you think there were any bmgf, chai and european investment bank? that influence level of ppp dynamics here in country?","i think for this one, as i mentioned earlier two options, we need to sit together and discuss and revisit the decision and those details i stated above.",39,rwa_int_pe_2021_11_30
and the negotiation between chai and any of these bmg and european investment bankthe government were not involved?,"i'm not a politician but i used to follow speeches or the leadership. so the, let's saythe perspective ofour leader will say every timeyou see that private sector is a key actor.so he always say that, you know, there is a huge cost of not taking the right decision at the right moment. it's a huge cost that let's say the issues that we have now, the issues now, probably not yet, you know, we are still it's, covid new variant. we're still busy, but out there, people need services in a compressive manner. i've done good and very well scaling up, you know, services actually, but all those things, but in time of timely service, and also to see citizen satisfaction rates to the health services is still very low, very low. the leadership supporting the private. the leadership want us to advance but the implementation doesn't go with it. that's what i was saying huge cost of not taking the right decision at right time but people still need services, the system still have problem, we donâ€™t have protocols and there is a problem of us not taking decision, what could hinder the implementation is us because we don't have the same level of understanding mode, technical level, what are the issue we are trying to solve? but legal environment is there and is supportive except the implementation.",40,rwa_int_pe_2021_11_30
thank you so much. so you said that private partner didn't really were not involved when you started the negotiation with chai. what will you anticipate as a main question from private partner?,"i recommend, i think probably it might not sound aligned with their vision but number one, iâ€™ll recommend them toinject money where they give funds to the partner which i think they should, because of maybe they are funding arrangementsthey're not maybe funding they don't funding for specific project which is somehow risky.give the money to the privates operator, which is somehow very risky because that area is not yet known or mean implemented in that country. i'll give you a similar example. you can send it very well. you see when bably came at that time, it was not clear and the digital health but because they found that government, they came in the sector of service provision. let's say, for example, even though it's quite new, digital health but because it was aligned with what the government wanted of course with covid. yeah covid come after, but cause the government want to promote the digital things investment it then through that government, the country vision.",41,rwa_int_pe_2021_11_30
"okay. thank you so much. and you think, first of all, they have capacity, if this was an open option?","i thinkthat will be the role of the government when they're negotiating, especially the regulation of the price, the good thing the government has issued, the, the pricing policy, and now the ministry order to enforce that policy press policy. the government can regulate the prices on the market so that person will not suffer either paying or co-payment.",42,rwa_int_pe_2021_11_30
"okay. do you have any idea of who could be the potential, a private partner in this say starting by the country?","no we don't have a specific issue but gender will be considered when it comes to prioritization. cause like nowwe have specific issue for women cervical and breast cancer those, i think some of the, those let's say for example, thoselab services, lab tests we should prioritized especially those thingsto make sure the services for women are well provided.",43,rwa_int_pe_2021_11_30
"thank you so much. i know that we've been taking, almost one hour and 15 minutes.","on the financial side. i don't see, it's depend on the time of reference. that's find the private sector, the private operator,an example i can give for sample transportation,the private sector brings his own money. of course.the reason why, i mean, that's one is for him, but i think once the project, i think for, he it's always get because of that funds the liquidity for the private sector to inject or to start like startup capital. it was already cater in the product, but on our side i mean, i don't see any financial salary risk as far as i mean, the service are provided the only problem that i could anticipate fromthe insurance, but also for the insurance, there is a way you can avoid it. it depends the way you negotiate the tariff yeah. you can negotiate the tariff. and then the government, you know, with the insurance, make it low so people can access, the more you increase the tariff it's become more difficult for people to access, call the co-payment. but in general, i can't, i don't see any financial issue this the role of the government to regulate the cost. i think that could be one to anticipate some of the financial issue.",44,rwa_int_pe_2021_11_30
"do you see any, any support in terms of coming from the government letâ€™s say, for example, we are seeing that the lab system are being improved. do you think the government has the room to inject more funds by itself?","i think this model is quite particular. that's what i suggest. i give you that example of sdg funding, because we have developed partners coming to engage in moh with two source of funding. philanthropy also fund from a central bank it's quite particular but what they can learn from you know, let's give you an example, not the specific area imentioned that one for the covidbecause the government provide over all leadership, the reporting, you know, all those things monitoring make sure that people are reporting their stock. people are getting results, you know, because they're very sensitive because see, i think that could be quite a similar.",45,rwa_int_pe_2021_11_30
"that's really very interesting. and i think you said it work it's to expand on the existing, not government to start in new. yeah. that's what you kept on saying that ppp could be one, one way as, as many others learn and stuff. and thank you so much, dr. thank you. i really appreciate. and before would like to ask if you have any question for us,","the financial department from moh because. they were involved in the discussion too, enabel, rbc, chai, mof, king faisal should be included too the cfo of it, usaid,unfp should involve too and the ceo of psf should be included about labs bmc and lancet you should keep them , fdaand psa too.",46,rwa_int_pe_2021_11_30
"thank you so much dr.i think you gave us a really rich information and we really appreciate, and what we promise as well, once we have, even the draft report will give you back, uh, what we have collected based also on the recommendation of the list of people that you think we should have will, will definitely think that, uh, the information that of us is going to be very capital. okay. especially not only for a position, but also your experience. sure. thank you so much for your time and really, really, really on behalf of the team, you appreciate your time. thank you for your ideas. ","we don't have it, yes we have a master guide in term of engaging privacy, it's a ps private sector engagement master guide. yeah. that we have submit official to rdb to show our priorities, and lab is on top of priorities in the government we have put diagnostic treatment center.there is also lab diagnostic and treatment center and imaging as well. because we used to get so many investors here but now we have everything set up for five years, we gave ourselves five years and probably it will be changed after five yearsthis guide shows what are the investment opportunity. what are the incentives? and also process to open a private facility process to open a private pharmaceutical firm all those things.regulation, inspection. it's a good document. it is not yet published but it is already signed and we sent it to rdb so that they can use it for marketing.",47,rwa_int_pe_2021_11_30
"and starting, just would like to know how your involvement in the ppp process under this project is?","from the ppp process when started at that time, i wasn't yet in my position, but i read the report, but was obtained from what has been done so far. for my side, at that time, when i came in, i had to look into the report, what is the report? and what are the national strategies that are putting into place to improve? the quality of service delivered, advice as technical part of the technical team. so we looked into the national strategies as far as the lab is concerned that are put into place to improve the service. and look as well into the recommendations from the ppp and advice whether we proceed with the ppp or if we go for the national strategy or strategy is put into place and see whether we can proceed with the ppp when the time comes. so we looked into the strategies that are put into place at that time and yes we looked into what the ppp was to offer. and yes we advise that for the ppp we should wait for a moment for the strategies put into place to be implemented and see what the outcome from the strategies are? and therefore looking to the ppps proposing and from there, you know, which type of ppp you can prefer.",1,rwa_int_pe_2021_12_2
"oh, wow. steering committee how many people in the steering committee? ","yes those are the two strategies, actually certain from the molecular testing, but also expanding to other tests.",2,rwa_int_pe_2021_12_2
what was the process of negotiation over ppp how did the process vary by topic?,"apart from the central level where we are for the moment we look at into having four others meaning four, one into each and every province. okay. so there will be a collision of regional offices of rbc, but there will be at provincial level at each province we will be having one office.",3,rwa_int_pe_2021_12_2
and that was communicated to chai that will hold on for one year? ,"it is going to be hard to tell cause i was not in there at that time but when we were discussing in a way this can happen we were seeing, do let start stepwise starting with let's say, different levels of health system starting from let's say a referral level district level health center level, even post health, post level and select in each and every province, a sample that will be representative of the whole country. ",4,rwa_int_pe_2021_12_2
thank you so much. and this process was put in hold because of there was a dno that was put in place to support?,"it was really a discussion which was open but we were thinking about, actually that was the first one was that one, that one was, was that way. but the other thing was why can't we start with a simple transportation ppp and see how it's changed. and if we realize that by allowing samples to move from the lowest level to the highest level easily is increasing maybe the volumes. and if it's increasing the volumes, that simply will tell us that now we will, we need more of space for the lab. more of the equipment for the lab, more has to be done, and so on to cover the volume, which is increasing. so that's, when we were thinking that now we will move to the, to another step where we, we say that now let's move to the lab management, ppp, where we bring in a, but a private partner to, to equip if need be the lab in terms of equipmentâ€™s, themselves, or technical staff to cover the gap, which is increasingly to the increasing volumes of samples and so on.",5,rwa_int_pe_2021_12_2
"oh, really?why? ","actually it implies that actually this comes actually as one of the most, top priorities of rbc, which is actually the centralizing the test from central level to, to at least provincial levels. so they can create of space at central level for special tests and even research. so this is going to depend again, on the needs of a given religion, you can say, for example, in the northern province where we already know that diseases, which are highly infectious, such as ebola among of the diseases come from uganda and congo. so the center that's going to be built there, it'll be having a vhf lab viral hemo, fevers lab, specific and specialized for that among other tests, while in other regions, they can focus more on, bacteriology let's say, so it'll depend again on the needs of a specific region and what we have seen as issues and that specific region. so we will decentralize all those tests in that way, so that the tests we moving from of those different regions to the central level actually be run to those into those labs instead of being brought into the central level. so this actually what it implies, and this is the main purpose for rbc.",6,rwa_int_pe_2021_12_2
"what do you think were the issues to implement the design, the ppp design to be designed and how, how these issues were discussed and resolved? ","no, we have decentralized all of those services regarding the quality monitoring and all those, the mentorship, the training at that level.so that if a fridge is not working in nyagatare, then people don't start calling the central level, but they will start calling a central to be, for example, at rwamagana that they have a problem in nyagatare. so that will be easier to respond to. and also give that space that we need at central to focus on more important things.",7,rwa_int_pe_2021_12_2
what do you think would be done to solve those issues for the government to engage?,"when i came in the ppp, work actually was done at that time. there was a report out that we had to discuss. i remember that many people couldn't really understand what the ppp all about. i remember that i was given a report, which was, which was quite big, and i had to read even myself to understand. so there are quite number of people who were not really understanding what it all about, and they were expect thing actually, myself, to be able to understand. and, the other time i had to learn everything, i had to ask so many questions, at least i was from the lab. it was easy for me to get, yes, i can say that people, many people were hesitating, and to making decision regarding the ppp one, i think it was, a lack of information, which was actually information, which were not actually for me enough for people to grasp. what is the, the main idea for the ppp?secondly, there was that lack of information, but there is also a lack of people, i think, who are there before maybe to and who understood well, what the people was about to clarify, what is all about, and being there in that position where i have to really understand what it's all about, and again, go back. and what are the strategies that we are putting into place?",8,rwa_int_pe_2021_12_2
thank you so much dr. who do you think has been involved in the initial design of the ppp? ,"implementing them. yes. i remember, i think it was in january 2021 when we started the with the dno and at that time, i don't think i knew even about the ppp yes, the first time i ate, came to my knowledge yes, we were in a meeting and they called me and they told me, do you know this, the lab management ppp? i said, no, i don't know about it. they give me a quite huge report to go and read about and, yes, that's how it came to my knowledge. but yes, that was like, like in april or something. okay. and we had already started implementing other strategies.",9,rwa_int_pe_2021_12_2
and how about civil society? did the civil society involved?,"no, actually i started my position in december last year and i think that work, was accomplished before. okay. and the time i started the report was in out yes.",10,rwa_int_pe_2021_12_2
i would like just to ask one quick question do you think we had champions for ppp for this ahdp? who are these champions,"i'm not sure. i don't have all the information but i think yes, i think the national reference lab at that level was involved, but i'm not sure i'm not sure who and who were involved, but i think as far as lab is involved, i think, maybe at different levels that i'm not sure of, but i think the lab had to be involved at that time. who knows maybe even the department, but i realized that people had more information were at the level of the ministry, the ministry. yes. and they were the one with the report. they are the one who are following that, the ppp.",11,rwa_int_pe_2021_12_2
and how about do you have any actor trying to oppose it though the ppp on ahdp? ,"i think chai was involved as well in the ppp i'm not sure, but about other partners, i'm not sure having the information.",12,rwa_int_pe_2021_12_2
"what options were, or still being considered when designing the model? ","i think that will be the ministry to endorse the ppp for us we can maybe recommend us technical team, whether this is going to help us. it's not going to help, or this can be improved to make it more efficient.",13,rwa_int_pe_2021_12_2
do you think how appropriate is the design of ahdp ppp to local context? ,"i do not remember all the options no, but there is the lab co-management ppp, if i remember very well, the simple transportation ppp i don't really remember. i think there were three.",14,rwa_int_pe_2021_12_2
what would you recommend as a processes to have a buy in all the key stakeholders?how about international funders? multilateral/ bilateral organization? ,"i think they have to fit. i think it's not optional, i think they have to fit into the regulations and as far as, the options that, where they were proposed, i think they were fitting into the regulations and norms. that the only challenge i think, was not about the norms far as we see that it makes an impact. the norms were actually okay with the ppp and the regulations.",15,rwa_int_pe_2021_12_2
how would an ideal ppp specially this ahdp ppp design assure the needs of priority populations?,"i think this is a new framework, it's a new framework that was actually to be explored and this is actually one of the things that brought in actually that hesitancy people are not used to have the public institution, partnering with the private, but i believe that yes, the private sector has something to offer, to bring to the public institutions that is worth to explore.",16,rwa_int_pe_2021_12_2
"how has gender influenced the design of the ppp? like male and female, do we have any problem there in terms of access of the services when it's come to ppp?","yeah. i think a better approach is for it to be implemented is to first of all know what are the gaps that are in the public sector and highlight what is the ppp bringing to fill up the gaps? so if these approach is well elaborated, so the ppp will be appropriate. i think the ppp, needs to be flexible to the needs, the actual needs of the system. this is the only way to make it appropriate. and i think bringing in a private partner will depend on those spaces that we can see into the system where the private will come and fit in.",17,rwa_int_pe_2021_12_2
"some of the things i discussed, any idea on the financial risk. what are the factors do you think, change the discussion around the ppp?","yes.i can take an example when, we were reading through the lab co-management ppp.so it wasn't clear enough, at which extent it goes and the question were, the government has done this so far. are we going to put all of this into the hands of the private partner and, how is going to, yes, we have all the equipment. so all the infrastructures, if we put them in the hands of a private, will it be appropriate or what will be now, that partnership be looking like, what is the efforts so far done by the, by the government to deliverthe services at that table will be, will be considered. so there were so many questions around, because i think it wasn't clear enough at which extent and how this is going to be implemented. so there were so many questions around that actually.we're not clear enough. and therefore, the hesitancy of course.",18,rwa_int_pe_2021_12_2
"i see, thank you so much. i'm just going a little before. i know your time. um, some of the questions responded while you respond to others. ","i think, actually all the stakeholders we need to sit down and see what is the current situation? what are the gaps?what is the contribution and their stakeholder fill up the gap and what can be a better approach to move on. and this needs to not only the management of the lab, not only the management of, or even nature of health, but everyone who's involved.",19,rwa_int_pe_2021_12_2
looking at this list who are the key stakeholders in the ppp that were involved that we are missing?,"lab, like we, we can say let's say starting from the management of the lab, going up to the management of biomedical services department,the management rbcitself, the clinical service department in ministry health, and even people representing the ministry level,should be involved. and they, they will be also because it's an investment kind of thing they also have to berdb in this, because they will need to, to also make a decision, whether there is that investor coming in or this investment that is to be happening. and they will be yes, other partners, you can say cdc, who, chai, usaid.yes, all those partners that we work with, in our daily basis to improve the quality of service in the network, they need to sit down and see what has been done. uh, what is the current situation? what is a better way to move forward? ",20,rwa_int_pe_2021_12_2
"what could be the plans in place to support public sector financing of diagnostics? for example, if it's a lab, how much do you think will be needed to have, uh, a general seek treatment center? ","yes the first recommendation is, you remember when i, i say that i, it came to my knowledge when i was having meeting at the ministry. i think a better approach is to start with those implementers who are actually us get the management of the lab involved, get the lab involved and is actually being proposed. those are the ones actually trying to implement all the strategies that maybe even the policies for coming from the ministry. so getting them involved makes, they collected information even more accurate and even easily understood and implemented later alone. so starting for that low level, actually, i believe that makes all the times when it comes to implementation the work even easier. because i remember i'm seeing this. because when i go the report, i come and present it to the directors, no one knew about the ppp and the directors in the different units.",21,rwa_int_pe_2021_12_2
"so the first question that i have for you is actually, i want you to describe your involvement in the ahdp initiative here in rwanda","when i look into the health system and or even service delivery, all i think is ideal is to increase the access of, of services by decentralizing the services to the lowest level possible. so the best ppp should actually act in that direction where we have the populationdown there, able to access the and best on the services, the bigger, the package of tests possible to the lowest level, instead ofall the time, getting a and say these tests are not, we are not able to do them. you need to go to another level, see most of patients will lose, will lose them in that way of referring them. and later on, we get them very sick and even not able to even put them anymore, why it was preventable if that this were done down there even before the case, wasn't so decentralizing and increasing the access of services, it's all priority and it's key to the quality of services.",1,rwa_int_pe_2021_12_6
"so if i have well understood you talked about national strategies and those strategies the first one, you said the decentralization of your lab offices. yes. as well as diagnostic network optimization","i think we will need again, to rework on the ppp even the proposals or different options of what the ppp are, because it wasn't clear for me, including me so it was really hard to tell, how this is going to benefit the population. it wasn't really easy to integrate into the existing system due to that limited, i think, understanding of the report itself or the ppps as a whole.this comes in again the involvement of the implementers, those who are supposed to implement the technical people who are supposed actually to support the ppp if they support. so it's hard really to tell when you, it's not very clear.",2,rwa_int_pe_2021_12_6
"yes. so in this decentralization, how many offices are you planning all over the country?","i think okay. i don't have the model that we recommended with me but i think the best model should actually, be fitting with the priorities, the strategies that we are talking about, if we are talking about let's say, talking about with the priorities to centralize the test, uh, even if it involved, for example, to place it, the poc point of care machines, let's say the ppp should come in as yes. as a yes. is a private partner, but responding to the, the needs highlighted. so if we are now talking about decentralizing, those tests, centralizing these labs, the ppp should actually go into that direction. these are the key consideration. ",3,rwa_int_pe_2021_12_6
"okay. thank you i've understood that you were not necessarily there during the negotiation, but based on the informationâ€™s that you maybe got from the person who was there before you.","yes okay. so that's why i said maybe we will need to rework on the proposal and the combination of the ppp to make sure that it's actually, they are updated to the actual gaps now that are existing. okay. not repeating or duplicating what is being done but also to see what is done, what is not, covered yeah. with the efforts, put into place and start filling the gaps with the ppp.",4,rwa_int_pe_2021_12_6
what was the model that you wanted to implement? at that time the one that was selected,"again, it's going to be hard for me to answer cause i was not there for the discussion that were done before, but there was that limited level of involvement and therefore understanding or the ppp the level implementers it was like something that was done when i came in and something that was understood by at the high level, but the lowest level wasn't to be involved enough. so this is one, two is, when we looked into the ways going to be implemented, starting from the part that is not, clear for us, what's meant to impact on even if the, the access, the quality among the affordability, those pillars of good service were clear, were very clear, but it wasn't, um, it wasn't clear enough for the implementers, how it's going to be done. and, and if we are engaging the partners to invest in our health sector to improve the health, , service delivery, we couldn't really understand how the ppp and the equals of the government and the partners are going tomarry each other to make, this service delivery improved.i think, there was that clarity of information, which was not actually good enough to, to clear the point that were raised.",5,rwa_int_pe_2021_12_6
so i would like to come back to these national strategies to better understand them what does it imply when you are decentralizing? ,"a lab actually has let's say three big department, let's say they are human resources, there is infrastructures, there is finance too to make that actually everything operates. so the staff that we have currently starting from the staff are people who are on structure, the structure of marital structure. and there are those that are brought by the projects want structure. so we were saying if the private partner comes in is going to take over the staff and everything, and there was no answer to that. for example, the equipmentâ€™s that are existing, if theprivate partner comes in, is the partner going to hire the equipmentâ€™s and buy the reagent for the equipmentâ€™s and run the services, maybe pay the government or the government, pay the partner. so they were those many questions that i think were not clear enough and touching all the, all the aspects of the lab, going to the procurement, even itself.we know the procurement how it is done all the channels that we all followed regulations and all of that, if we bring in the private partner, how is going to change, how is going to be impacted. so, i think all those levels, when it comes to information, they were not actually well elaborated, and there were so many questions that were remaining unanswered.",6,rwa_int_pe_2021_12_6
"are you also going to decentralize everything that is related to monitoring and evaluation assessment of quality, or are those functions going to stay with the central level?","we had to like two or three meetings at the ministry. and all those questions that i'm asking were asked by many other people, and they remained not satisfied with the what actually the answers. i think this comes actually, i'm not blaming the high level, but i believe that as not being the technical people, even the level of embracing or understanding where, how this is going to be happening is it can also be challenging for them. but when it comes to these people at the lowest level who are on the field, who understand the needs, who understand the gaps. it's very easy for them to highlight the point to propose solutions to the issues that they're facing, but was coming from up to down. what i believe should go down to up. so when it comes to, from up to down, could not understand it's difficult for them to even embrace and implement.",7,rwa_int_pe_2021_12_6
