Questions,Responses,Question number,Transcripts
"did you have any involvement of a private partner, civil society involved in this initial? ",legal tools frameworks well designed even structures remember know even rdb cause custodian department dealing give someone whos want go ppp work government assign agreementthey another department called aftercareso aftercare problem issues arising aftercare brought facilitate discussions give example drones,10,rwa_int_pe_2021_11_30
"i would like to ask, you know, how did the actors involved in the design process change between the initial design and the current situation?",involved referral hospital saw agreement could implementer ministry iâ€™m involved principally also member ongoing discussions discussing abbott challenges implementation cause hospitals implementing coordination try capture issues hospital correlate abbott find solutions yeah,11,rwa_int_pe_2021_11_30
"how about do you have any, would you call anyone here as a champion for supporting ppp?",think good tell truly thinking partner private also tell think improvements done think trust good discussions different meetings conducting tell youa personal experience ppp health post call ofh one family health many meetings issues rising must sit sort ppp theres third party theres ppp operator also someone accompany using services also regulator maybe ministry health must engage two company engaged ppp also using services company course issues must brought discuss sort,12,rwa_int_pe_2021_11_30
"thank you so much. do you think there's any actor, you know, look at the institution, who would oppose, the ppp, especially if you refer to ahdp one?",yeah government priorities also includes engagingprivate sector remember submitted rdb recently call private sector engagement yeah many calls private companies uh know interest ministry interests areas wefinance privately support withthe partnerships laboratory among key areas wewant partnerwith private companies ppp yeah,13,rwa_int_pe_2021_11_30
"so if you had a ppp, who do you think or who, or which institution would have been ultimately responsible for improving the ppp design?",document cannot change anything bind ministry health rdb clarify without many consultations interest cancer interest laboratory interest oxygen implantsso speaks interest ministry needs subsequent tools subsequent ways increasing awareness like training mentioned many post things people thinking make position even temporarily ministry private sector engagement ppp honor ministry atleast someone come ministry knows facilitate custodian understandvery well first page last page ppp guidelines knows even interest ministry many suggestions many suggest course needs institutions take agree someone facilitate even annual plan engaging private sector also awareness among policy makers awareness among users maybe many ideas maybe make make real future,14,rwa_int_pe_2021_11_30
"how do you think this project, when do you think that they use the rdb procedure or they first come to ministry and they haven't checked with rdb? what happens here for the ahdp?",rbc moh planning think involved rbc director lab chai planning former country director accepted well think others dont know levels involvement bmc boofmar lancet crucial rbc us also chai,15,rwa_int_pe_2021_11_30
"what options were, or are still being considered when designing the model, this ahdp model?",incentives monetary good make friendly climate maybe workshop maybe people understand time bound meetings even online virtual dont know level involvement virtual meeting true focused read prepared know content able ask questions kind try neutral put another side future,16,rwa_int_pe_2021_11_30
"so just quickly do you think for the co-management, we need different modalities, different design for example, contracting options will be, or regulatory consideration would be different.",dont know dont think one hesitance think shake administrative ministerial level aim something improvesome peopleare appreciatingthe services laboratory go appreciation level rdb among services appreciated ambulance services laboratory drugs accessibility know level change last year rms mean ppd reform needed different way addressthe access test laboratory maybe hospitals getting revenue cannot lie hospital manager buy cost x get five x five times four times example tell example hepatitis test profits pregnancy test profit profits may guess,17,rwa_int_pe_2021_11_30
how do you think how appropriate is the design of ahdp ppp to the local context? ,maybe hesitant yeah get something,18,rwa_int_pe_2021_11_30
"so how would you recommend a process to have a very deep buying for key stakeholders? for example, what would you recommend to international funders? here? we are looking at someone like bmg, some station, like bmg for your investment bank.",im aware,19,rwa_int_pe_2021_11_30
"you know, you just say piloting is one of them. what else do you think need to be considered? if we have another opportunity to do the ppp with lab services?",yeah maybe level ministers approached chai try explain project dont know,20,rwa_int_pe_2021_11_30
"and you think that this was not well done, considering that, you know, understanding the old stakeholders mapping and understanding who bringing the table how do you see that should be done?",private partners spirit want things maybe see public sector risky difficult take investment payment process rssb take average 90 days right 180 wait days reimbursed could scenarios questions may see course every time say get capital inject ppp special treatment like loan reduced interest guarantee,21,rwa_int_pe_2021_11_30
"how would an ideal ppp design, accommodate the needs of priority population? what is the best ppp in this one?",yeah look maybe people investing big hospital bringing many equipment equipment someone buy city scan heavy investment easy open also friendly environment business model country seeing many foreign investors cannot even right rwandan investors think comes something even attract foreigners invest,22,rwa_int_pe_2021_11_30
how would the ppp design address key considerations to improve access of laboratory diagnostics? ,lancet someone specialize laboratory others opening clinic also adopt laboratory bmc also unique laboratory model added clinical services maybe laboratory interested something private model,23,rwa_int_pe_2021_11_30
what factors do you think changed the discussion around the ppp? and how do you think separate question covid would or affect the decision on the ppp?,grants sustainableloans bank alwaysthe guarantee fear interest rate high suggest maybe loan bankbut law interest attract private investors,24,rwa_int_pe_2021_11_30
"i was just going to ask for example, if ahdp is providing technical support and facilitating financing for these people, how would the availability of this support affect the ppp design? ",difficult kind ppp government infrastructure buildingsthe equipment much demands future investment government building hospitalsscale already services l specialtyit done many priorities prioritiesput hold someone sustain lab good us look areas invest,25,rwa_int_pe_2021_11_30
do you think that there's a way that you can do ppp without looking at the financial instruments or ppp must have financial instrument?,question isdid contribute lot beforei wanted tell tunga contribute dont enough information skipped meetings cause different reasons,26,rwa_int_pe_2021_11_30
how would you recommend ahdp technical support being used to address any of the gaps that you said weaknesses in capacity among his stakeholders?,role ppp process started think one year ago covid pandemic think 2020 may june chai came see minister minister called team went meeting country director chai introduced platform process minister minister tasked us work first established steering committee clear term reference stakeholders share okay developed together chai also colleague rbc lab division already work ongoing time issue completing data collection supported give introduction letter give data hmis opening data formal appointment minister steering committee appointment initial meeting workshop five days ps chair senate committee appointed chair committee first workshop team worked different people hospital private sector rdb university rwanda course enabel usaid partners quite good team composed stakeholders,27,rwa_int_pe_2021_11_30
"how supportive is the existing policy legal or regulatory framework to ppps that we have? do you have a lot of resistance in the policy makers, or do we have different ways of overcoming those resistance? how flexible is the ppp to changes in the government priorities?",think around 20 ill give composition also share reports workshop musanze think july workshop discussed lot time brief get team thosekind confusion people people say know going bring one private sectorto monopolyit possible complementally abbott roche theyre see quite different think kind explain make people understand mean contribution initiative ongoing initiative initiative came remove initiatives quite somehow see get efficient way manage lab liked idea thats even continued push time big feasibility study shared mean input steering committee initial reports steering committee discussion approved document document shared august,28,rwa_int_pe_2021_11_30
"and you talked about the abbott examples and you also talk about your experience as a, as a district hospital manager. so how were you involved in the past experience in the ppp? or even here as a in charge of quality head of department?",time like june started lab leadership involved current one previous remember even meeting preparing steering committee workshop former leader lab one proposed sample transportation liked sincerely speaking personally liked idea proposed let start sample transportation thats problems rather going full management ppps hospital took idea even committee discussed even though workshop quite mixture people whats first time introduced thats bring know monopoly versus discussion shifts know good one person manage lab,29,rwa_int_pe_2021_11_30
"and how trusting collaborative was the relationship, or is the relationship between the public and private sector in this one?",yes immediately technically communicate officially chai think also meeting leadership chai country director chai introduction visit minister appointed meeting minister told process put hold one year probably end next year,30,rwa_int_pe_2021_11_30
what has been any historic investment and interest from government in laboratory diagnostics?or do you think it's align with the government priorities?,yeah two things mentioned two things mentioned dno also mentioned another thing say theyre going strengthen regional labs see blood ncbt regional office theyre going strengthen regional maybe need renovated put lab tests mean working nearby hospital machine hospital put ncbt office,31,rwa_int_pe_2021_11_30
"do you think there will befor example, as you submitted the document to rdb, do you think you need to improve or work onhow the health work related to those diagnostic systemwould be able to actually accommodate all the new improvement? ",dont deploy see demand lack infrastructure also bottlenecks term service delivery one way even hospital declined dont backend positions donâ€™t know put going put say go freelancer look know yet contract feel frustrated somehow thats poor planning side,32,rwa_int_pe_2021_11_30
"so, this is the list of people that would like to, we are actually planning to interview do you think we miss any, we would like to see any important stakeholder in that show card",yeah personal view minister ill frank dont think one year make difference change option ppp lab mean sample transportation know things number one think need sit together see mean probably one year agreed mean decided could time discuss advantages disadvantages cause im seeing helping much people even though understand time government fear engage private,33,rwa_int_pe_2021_11_30
"thank you so much for those, do you think there will be an incentive to participate in the ppp you know, the ones that you suggest",think need lot advocacy bring leadership european investment bank see european investment bank already give us money lab ministry finance loan signed found rwanda engaging projects think also continue invest theyre going support us thats one things leave leadership district hospital first contact patient found proper sample transportation lab would busy big lab going well effective sample transportation really good time keep advocating see work also im seeing lot opportunity banks offer loans low interest rate,34,rwa_int_pe_2021_11_30
that's correct. thank you so much doctor whose interests are hurt or helped by laboratory diagnostic happening in public versus the private sector,moh mof private sector like cdc enabel usaid working supporting project engagement chai also involved,35,rwa_int_pe_2021_11_30
"yeah. so, so probably at the level of the, especially at the health facility,",didnâ€™t involve psf involved private partners gave us someone,36,rwa_int_pe_2021_11_30
"okay. i see. and, and that's where, or you think that there may be potential threatened to ppp or contracting arrangement because that's where the hospital gets.some support. ",laughingi align leadership dont champions leadership champions leadership minister health first one pushing even though put hold ministry health yeah ministry see think personal note time perceived pushed chai yeah conversation mean beginning evolving clear found kind government want remember discussion yeah,37,rwa_int_pe_2021_11_30
"the fear, again, for me the ignorance is very difficult. and maybe you can have fear because you doesn't understand the project and you don't want to take risk. and sometimes in any projects it's boundary the risks. yeah. and some people fearing to take risk, due to a lot of fear. ",wont say oppose instead think progressive understanding people level understanding project maybe want benefits also looking ahead see losing gaining,38,rwa_int_pe_2021_11_30
"thank you so much. and we are almost there. so do, do you think there were any bmgf, chai and european investment bank? that influence level of ppp dynamics here in country?",think one mentioned earlier two options need sit together discuss revisit decision details stated,39,rwa_int_pe_2021_11_30
and the negotiation between chai and any of these bmg and european investment bankthe government were not involved?,im politician used follow speeches leadership lets saythe perspective ofour leader say every timeyou see private sector key actorso always say know huge cost taking right decision right moment huge cost lets say issues issues probably yet know still covid new variant still busy people need services compressive manner ive done good well scaling know services actually things time timely service also see citizen satisfaction rates health services still low low leadership supporting private leadership want us advance implementation doesnt go thats saying huge cost taking right decision right time people still need services system still problem donâ€™t protocols problem us taking decision could hinder implementation us dont level understanding mode technical level issue trying solve legal environment supportive except implementation,40,rwa_int_pe_2021_11_30
thank you so much. so you said that private partner didn't really were not involved when you started the negotiation with chai. what will you anticipate as a main question from private partner?,recommend think probably might sound aligned vision number one iâ€™ll recommend toinject money give funds partner think maybe funding arrangementstheyre maybe funding dont funding specific project somehow riskygive money privates operator somehow risky area yet known mean implemented country ill give similar example send well see bably came time clear digital health found government came sector service provision lets say example even though quite new digital health aligned government wanted course covid yeah covid come cause government want promote digital things investment government country vision,41,rwa_int_pe_2021_11_30
"okay. thank you so much. and you think, first of all, they have capacity, if this was an open option?",thinkthat role government theyre negotiating especially regulation price good thing government issued pricing policy ministry order enforce policy press policy government regulate prices market person suffer either paying copayment,42,rwa_int_pe_2021_11_30
"okay. do you have any idea of who could be the potential, a private partner in this say starting by the country?",dont specific issue gender considered comes prioritization cause like nowwe specific issue women cervical breast cancer think lets say example thoselab services lab tests prioritized especially thingsto make sure services women well provided,43,rwa_int_pe_2021_11_30
"thank you so much. i know that we've been taking, almost one hour and 15 minutes.",financial side dont see depend time reference thats find private sector private operatoran example give sample transportationthe private sector brings money coursethe reason mean thats one think project think always get funds liquidity private sector inject start like startup capital already cater product side mean dont see financial salary risk far mean service provided problem could anticipate fromthe insurance also insurance way avoid depends way negotiate tariff yeah negotiate tariff government know insurance make low people access increase tariff become difficult people access call copayment general cant dont see financial issue role government regulate cost think could one anticipate financial issue,44,rwa_int_pe_2021_11_30
"do you see any, any support in terms of coming from the government letâ€™s say, for example, we are seeing that the lab system are being improved. do you think the government has the room to inject more funds by itself?",think model quite particular thats suggest give example sdg funding developed partners coming engage moh two source funding philanthropy also fund central bank quite particular learn know lets give example specific area imentioned one covidbecause government provide leadership reporting know things monitoring make sure people reporting stock people getting results know theyre sensitive see think could quite similar,45,rwa_int_pe_2021_11_30
"that's really very interesting. and i think you said it work it's to expand on the existing, not government to start in new. yeah. that's what you kept on saying that ppp could be one, one way as, as many others learn and stuff. and thank you so much, dr. thank you. i really appreciate. and before would like to ask if you have any question for us,",financial department moh involved discussion enabel rbc chai mof king faisal included cfo usaidunfp involve ceo psf included labs bmc lancet keep fdaand psa,46,rwa_int_pe_2021_11_30
"thank you so much dr.i think you gave us a really rich information and we really appreciate, and what we promise as well, once we have, even the draft report will give you back, uh, what we have collected based also on the recommendation of the list of people that you think we should have will, will definitely think that, uh, the information that of us is going to be very capital. okay. especially not only for a position, but also your experience. sure. thank you so much for your time and really, really, really on behalf of the team, you appreciate your time. thank you for your ideas. ",dont yes master guide term engaging privacy ps private sector engagement master guide yeah submit official rdb show priorities lab top priorities government put diagnostic treatment centerthere also lab diagnostic treatment center imaging well used get many investors everything set five years gave five years probably changed five yearsthis guide shows investment opportunity incentives also process open private facility process open private pharmaceutical firm thingsregulation inspection good document yet published already signed sent rdb use marketing,47,rwa_int_pe_2021_11_30
"and starting, just would like to know how your involvement in the ppp process under this project is?",ppp process started time wasnt yet position read report obtained done far side time came look report report national strategies putting place improve quality service delivered advice technical part technical team looked national strategies far lab concerned put place improve service look well recommendations ppp advice whether proceed ppp go national strategy strategy put place see whether proceed ppp time comes looked strategies put place time yes looked ppp offer yes advise ppp wait moment strategies put place implemented see outcome strategies therefore looking ppps proposing know type ppp prefer,1,rwa_int_pe_2021_12_2
"oh, wow. steering committee how many people in the steering committee? ",yes two strategies actually certain molecular testing also expanding tests,2,rwa_int_pe_2021_12_2
what was the process of negotiation over ppp how did the process vary by topic?,apart central level moment look four others meaning four one every province okay collision regional offices rbc provincial level province one office,3,rwa_int_pe_2021_12_2
and that was communicated to chai that will hold on for one year? ,going hard tell cause time discussing way happen seeing let start stepwise starting lets say different levels health system starting lets say referral level district level health center level even post health post level select every province sample representative whole country,4,rwa_int_pe_2021_12_2
thank you so much. and this process was put in hold because of there was a dno that was put in place to support?,really discussion open thinking actually first one one one way thing cant start simple transportation ppp see changed realize allowing samples move lowest level highest level easily increasing maybe volumes increasing volumes simply tell us need space lab equipment lab done cover volume increasing thats thinking move another step say lets move lab management ppp bring private partner equip need lab terms equipmentâ€™s technical staff cover gap increasingly increasing volumes samples,5,rwa_int_pe_2021_12_2
"oh, really?why? ",actually implies actually comes actually one top priorities rbc actually centralizing test central level least provincial levels create space central level special tests even research going depend needs given religion say example northern province already know diseases highly infectious ebola among diseases come uganda congo center thats going built itll vhf lab viral hemo fevers lab specific specialized among tests regions focus bacteriology lets say itll depend needs specific region seen issues specific region decentralize tests way tests moving different regions central level actually run labs instead brought central level actually implies main purpose rbc,6,rwa_int_pe_2021_12_2
"what do you think were the issues to implement the design, the ppp design to be designed and how, how these issues were discussed and resolved? ",decentralized services regarding quality monitoring mentorship training levelso fridge working nyagatare people dont start calling central level start calling central example rwamagana problem nyagatare easier respond also give space need central focus important things,7,rwa_int_pe_2021_12_2
what do you think would be done to solve those issues for the government to engage?,came ppp work actually done time report discuss remember many people couldnt really understand ppp remember given report quite big read even understand quite number people really understanding expect thing actually able understand time learn everything ask many questions least lab easy get yes say people many people hesitating making decision regarding ppp one think lack information actually information actually enough people grasp main idea pppsecondly lack information also lack people think maybe understood well people clarify position really understand go back strategies putting place,8,rwa_int_pe_2021_12_2
thank you so much dr. who do you think has been involved in the initial design of the ppp? ,implementing yes remember think january 2021 started dno time dont think knew even ppp yes first time ate came knowledge yes meeting called told know lab management ppp said dont know give quite huge report go read yes thats came knowledge yes like like april something okay already started implementing strategies,9,rwa_int_pe_2021_12_2
and how about civil society? did the civil society involved?,actually started position december last year think work accomplished okay time started report yes,10,rwa_int_pe_2021_12_2
i would like just to ask one quick question do you think we had champions for ppp for this ahdp? who are these champions,im sure dont information think yes think national reference lab level involved im sure im sure involved think far lab involved think maybe different levels im sure think lab involved time knows maybe even department realized people information level ministry ministry yes one report one following ppp,11,rwa_int_pe_2021_12_2
and how about do you have any actor trying to oppose it though the ppp on ahdp? ,think chai involved well ppp im sure partners im sure information,12,rwa_int_pe_2021_12_2
"what options were, or still being considered when designing the model? ",think ministry endorse ppp us maybe recommend us technical team whether going help us going help improved make efficient,13,rwa_int_pe_2021_12_2
do you think how appropriate is the design of ahdp ppp to local context? ,remember options lab comanagement ppp remember well simple transportation ppp dont really remember think three,14,rwa_int_pe_2021_12_2
what would you recommend as a processes to have a buy in all the key stakeholders?how about international funders? multilateral/ bilateral organization? ,think fit think optional think fit regulations far options proposed think fitting regulations norms challenge think norms far see makes impact norms actually okay ppp regulations,15,rwa_int_pe_2021_12_2
how would an ideal ppp specially this ahdp ppp design assure the needs of priority populations?,think new framework new framework actually explored actually one things brought actually hesitancy people used public institution partnering private believe yes private sector something offer bring public institutions worth explore,16,rwa_int_pe_2021_12_2
"how has gender influenced the design of the ppp? like male and female, do we have any problem there in terms of access of the services when it's come to ppp?",yeah think better approach implemented first know gaps public sector highlight ppp bringing fill gaps approach well elaborated ppp appropriate think ppp needs flexible needs actual needs system way make appropriate think bringing private partner depend spaces see system private come fit,17,rwa_int_pe_2021_12_2
"some of the things i discussed, any idea on the financial risk. what are the factors do you think, change the discussion around the ppp?",yesi take example reading lab comanagement pppso wasnt clear enough extent goes question government done far going put hands private partner going yes equipment infrastructures put hands private appropriate partnership looking like efforts far done government deliverthe services table considered many questions around think wasnt clear enough extent going implemented many questions around actuallywere clear enough therefore hesitancy course,18,rwa_int_pe_2021_12_2
"i see, thank you so much. i'm just going a little before. i know your time. um, some of the questions responded while you respond to others. ",think actually stakeholders need sit see current situation gapswhat contribution stakeholder fill gap better approach move needs management lab management even nature health everyone whos involved,19,rwa_int_pe_2021_12_2
looking at this list who are the key stakeholders in the ppp that were involved that we are missing?,lab like say lets say starting management lab going management biomedical services departmentthe management rbcitself clinical service department ministry health even people representing ministry levelshould involved also investment kind thing also berdb need also make decision whether investor coming investment happening yes partners say cdc chai usaidyes partners work daily basis improve quality service network need sit see done uh current situation better way move forward,20,rwa_int_pe_2021_12_2
"what could be the plans in place to support public sector financing of diagnostics? for example, if it's a lab, how much do you think will be needed to have, uh, a general seek treatment center? ",yes first recommendation remember say came knowledge meeting ministry think better approach start implementers actually us get management lab involved get lab involved actually proposed ones actually trying implement strategies maybe even policies coming ministry getting involved makes collected information even accurate even easily understood implemented later alone starting low level actually believe makes times comes implementation work even easier remember im seeing go report come present directors one knew ppp directors different units,21,rwa_int_pe_2021_12_2
"so the first question that i have for you is actually, i want you to describe your involvement in the ahdp initiative here in rwanda",look health system even service delivery think ideal increase access services decentralizing services lowest level possible best ppp actually act direction populationdown able access best services bigger package tests possible lowest level instead ofall time getting say tests able need go another level see patients lose lose way referring later get sick even able even put anymore preventable done even case wasnt decentralizing increasing access services priority key quality services,1,rwa_int_pe_2021_12_6
"so if i have well understood you talked about national strategies and those strategies the first one, you said the decentralization of your lab offices. yes. as well as diagnostic network optimization",think need rework ppp even proposals different options ppp wasnt clear including really hard tell going benefit population wasnt really easy integrate existing system due limited think understanding report ppps wholethis comes involvement implementers supposed implement technical people supposed actually support ppp support hard really tell clear,2,rwa_int_pe_2021_12_6
"yes. so in this decentralization, how many offices are you planning all over the country?",think okay dont model recommended think best model actually fitting priorities strategies talking talking lets say talking priorities centralize test uh even involved example place poc point care machines lets say ppp come yes yes private partner responding needs highlighted talking decentralizing tests centralizing labs ppp actually go direction key consideration,3,rwa_int_pe_2021_12_6
"okay. thank you i've understood that you were not necessarily there during the negotiation, but based on the informationâ€™s that you maybe got from the person who was there before you.",yes okay thats said maybe need rework proposal combination ppp make sure actually updated actual gaps existing okay repeating duplicating done also see done covered yeah efforts put place start filling gaps ppp,4,rwa_int_pe_2021_12_6
what was the model that you wanted to implement? at that time the one that was selected,going hard answer cause discussion done limited level involvement therefore understanding ppp level implementers like something done came something understood high level lowest level wasnt involved enough one two looked ways going implemented starting part clear us whats meant impact even access quality among affordability pillars good service clear clear wasnt um wasnt clear enough implementers going done engaging partners invest health sector improve health service delivery couldnt really understand ppp equals government partners going tomarry make service delivery improvedi think clarity information actually good enough clear point raised,5,rwa_int_pe_2021_12_6
so i would like to come back to these national strategies to better understand them what does it imply when you are decentralizing? ,lab actually lets say three big department lets say human resources infrastructures finance make actually everything operates staff currently starting staff people structure structure marital structure brought projects want structure saying private partner comes going take staff everything answer example equipmentâ€™s existing theprivate partner comes partner going hire equipmentâ€™s buy reagent equipmentâ€™s run services maybe pay government government pay partner many questions think clear enough touching aspects lab going procurement even itselfwe know procurement done channels followed regulations bring private partner going change going impacted think levels comes information actually well elaborated many questions remaining unanswered,6,rwa_int_pe_2021_12_6
"are you also going to decentralize everything that is related to monitoring and evaluation assessment of quality, or are those functions going to stay with the central level?",like two three meetings ministry questions im asking asked many people remained satisfied actually answers think comes actually im blaming high level believe technical people even level embracing understanding going happening also challenging comes people lowest level field understand needs understand gaps easy highlight point propose solutions issues theyre facing coming believe go comes could understand difficult even embrace implement,7,rwa_int_pe_2021_12_6
"so going back to the ahdp negotiation process, were there any sticking points, where it was difficult to reach an agreement when you were discussing this ppp model.",itll depend talk financing actually one going financed extent finance come say im supporting half staff lets say half staff improve improve system yes support maybe solving problem yeah depends actually financing going even flexible needs even specifically flexible needs,8,rwa_int_pe_2021_12_6
so when did you start implementing these national strategies?,knowledge private laws im dont information getting laws govern ppp technical societies lab butits going able answer questionbut think people legal office answer best question office lab dont legal office yes legal legal officewho say okay laws laws govern private partners coming yes go much bigger,9,rwa_int_pe_2021_12_6
so meaning you were not there during the ppp negotiation and when they were at the design and coming up with different options?,yes abbott ppp report released third party maybe supported chai think report feasibility report proposing three different options three different options government losingthis beginning ppp implemented fast evaluated feasibility study realized three options offering saying given reagent free government losing continue buy give reagent free reduce staff lab half government still lose third give reagent free reduce staff half consolidate create new network talking thosestill government lose meaning options choose lose ask ppp,10,rwa_int_pe_2021_12_6
"so who were the institutions, what institutions or people persons were involved in this design negotiation?",donâ€™t details details place equipment run tests government procurement would buying placement kind contract government would buying everything later theythey havethe feasibility study shows uh placement way working government procuring everything government works even build called center excellence quite huge project dont know negotiations started implementation ground rulebut yes revealed working okay really working good experience ppp,11,rwa_int_pe_2021_12_6
what about partners?,think theres issue trust actually issue would bringing table going improve thats actually main um main issue cause working partners bably operational giving services rwandans highly appreciated theres issue trust issue bringing fill see gap set gap approach different partners another one another private company actually tried present proposals solutions call lab home us interesting people reaching people example im office im diabetic lets say time lets say blood,12,rwa_int_pe_2021_12_6
what is the institution that is ultimately responsible for approving ppp project?,one priorities sector increase accessibility said services population national strategies lab well go directions theyre highlighted priorities health sector therefore said looking increase primary health care access people thats whenat level lab thinking decentralizing test thinking using point care machines thinking increasing packages tests health centers health posts thinking increasing accessibility digital systems lowest level able collect even information feed systems data help us even monitor even improve services actually provided different levels one example im taking show actually also align priorities health sector among many exist,13,rwa_int_pe_2021_12_6
so the first question is looking at the options that were considered during the design of the ppp what are these options?,level a2those lab long back secondary school two upgraded level a1 level a0 bachelors degree think structure think levels masters labs think bachelors degree maybe lab comes comes management people trainings general laboratory sciences,14,rwa_int_pe_2021_12_6
so this model do you think that they deviate from any regulatory norms or they can't fit into the norms that we have in the country?,starting ministry rbc key stakeholders theyre key implementers theyre one coming priorities policies health sector gor institutions including ministry finance planning important talked financial aspect ppp important bring ensure part also elaborated able get expect rdb important rdb charge investors coming country decision involve investor already easier time involved procurement agency cause procurement aspect also,15,rwa_int_pe_2021_12_6
"so do you think that option of co-management, does it fit into the norms that we have, the regulations that we have framework that we have, and there is nothing that can go against that?",im im going try put feet shoes think everyone wants starting public going back private facilities work looking role partners cdc among actually actually embrace see highlighted gaps paid ptp actually approach stakeholders like bridge say okay gaps able fill gaps cdc able fill gaps remain gaps ppp maybe let says start financial aspect take loan taken loan fill gap able fill gap,16,rwa_int_pe_2021_12_6
"so if you look at the design that were discussed and the one that was maybe recommended, how is it appropriate to the local context?",never afraid turnover time tell people train staff lab example test moves another lab im losing cause shes serving another one side yet trainings worse time continuous thing havent seen anything like threat turnover threat yeahyou know person moving one institution another hes serving hes serving gap hes feeling training planned continuous even theres someone new person trainedimmediately directly trainings would mentorship colleagues,17,rwa_int_pe_2021_12_6
"you read the report, actually, maybe you were not being part of all these discussions, do you see anywhere a place where this was not going to work?the way the options were framed, maybe there is a place where maybe it was going to be difficult to implement that. ",turnover ppp processi think ppp said going process implement turnover cant stop way turnover yeah threat ppp think dont think threat dont think ppp approach system based something approach system based easily disrupted turnover unless system changes directions,18,rwa_int_pe_2021_12_6
"do you think that when discussing about ppp, what are the stakeholders that should sit around the table to come up with a good ppp model?",system change mean shift priorities impact ppp direction clear people embraced approach ppp think turnover shouldnt threatbut think actually said feel also opportunity appear ppp opportunity fill gaps existing said someone moved another place someone new training transferring skills new person first lost hes still operating network hes filling gap one way,19,rwa_int_pe_2021_12_6
"can you list these people that you're saying, okay, institutions, when you say everyone, especially in, in the lab sector?",thats good question im able answer im part private sector thinkeach every partner private sector private sector um yes feel reallyattracted publicby issues public compared private private actually manageable flexible comes public well regulated rigid uh marrying two actually requires private flexible enough fit public,20,rwa_int_pe_2021_12_6
"what would be your recommendations, in a way of improving how the process was undertaken?",think actually everything actually reside around around privates regulated structured time know private want move fast find flexible ways time kids public perceive public delaying race,21,rwa_int_pe_2021_12_6
how would an ideal ppp design accommodate the needs of priority populations in rwanda?,think say existing gaps gaps know public private gaps yes attract private sector attract public sector manage actually work process fill gaps actually yes make also interests yes examples bably talked theres another one im talking lab home innovative idea think lab embrace really even encourage present present idea ministry yes looking gaps interested innovative ideas died,22,rwa_int_pe_2021_12_6
"so now when you look at the final proposal we have for the ahdp and then compared to the ideal one that you are thinking of where are the differences, where are the gaps that we have with?",im sure think look services offer different labels volumes people outside terms volumes needs services frequentthey go private think privatepartners actually look example bmc special tests maybe arent able momentand proposed model model actually building kind capacity deliver everything need deliver bmc lab separate operating private lab may refer would yes yes contribute given levelmay level may wish contribute think yes certain level,23,rwa_int_pe_2021_12_6
how will the ppp design address key considerations to improve access of lab diagnostic?,im looking done loans government uh going inject private labs make sure provide service population government trying make sure covered public private challenge public times tariffs theyre covered theto protect issue remains level primary care population arewegiving access tests maybe build infrastructures equip state arts technology tariffs high covered rssb receive service im looking way keeps working government understands quality services population able mobilize funds make sure tariff goes increasing access service thats actually look even know private companies question okay accessible affordable actually comes issue,24,rwa_int_pe_2021_12_6
"so if i understood, well, what you are saying is that i actually, this design was addressing a consideration that you had already started working on through the national strategies. ",plans ensure private sector services sustained financially actually think raise question discussing sustainability ppp question even im surprised also ask question thinking saying okay private partner coming partner public long sustaining making things run loan withdrawn government able sustain private partner sure good service seen delivered sustained aspect think maybe elaborated well report also ask way government invest,25,rwa_int_pe_2021_12_6
what are the factors that change the discussion around the ahdp ppp?,government also partners differentwhen talk private sector yet level say done public facilities strengthened financing private sector level yes working still improving question public sector looking mainly public sector public sector going finance mainly government yes private partners,26,rwa_int_pe_2021_12_6
"what are the type of information that you wanted to be more sure? what are the missing informationâ€™s that you would like to have to, to understand better?",cant say level sustaining everything without partner first times still building health system need work partners cause different reasons improve also able benchmark havewith exposures partners yes able yet level say selfsustain still need partner work partners aim everything come strategies generating income see move forward level sustainability say answer theres still lot work make sure actually reach state,27,rwa_int_pe_2021_12_6
did you get the chance to ask those questions in maybe any meetings or forum to get more clarifications on this small specific?,started wasnt aware ppp new joining system didnt people joined really level lab level involvement wasnt satisfactory level one recommendations think people happen maybe today lets say future lets start lowest level well people going implement ppp talking start lowest level um said bottom make sure actually move whole package needs people understands way fill overcome highest level one important recommendation making comes ppp would like also share,28,rwa_int_pe_2021_12_6
